trackIdx, fit_BoundLoc0, fit_BoundLoc1, fit_BoundPhi, fit_BoundTheta, fit_BoundQOverP, fit_BoundTime
0,0.000685123,-0.0385351,-5.4959e-05,1.57021,-0.204821,1725.23
1,-0.0168268,0.00929163,0.000370992,1.57125,-0.922389,498.288
2,-0.0013882,0.0136507,0.000101858,1.57095,-0.123867,-2113.9
3,-0.0630746,-0.0132816,0.000877979,1.57077,-0.793153,-219.699
4,-0.0201158,0.0460805,0.000293389,1.5712,-0.293606,761.016
5,0.0198527,-0.000932954,0.000478745,1.57048,-0.350432,-481.993
6,0.0109785,-0.0166158,-0.000314607,1.57035,-0.249701,1613.79
7,0.0020975,-0.00872569,-0.000319227,1.5704,-0.152492,-1041.72
8,-0.0794026,-0.0195435,0.00104965,1.57087,-0.211148,2095.44
9,-0.00589087,-0.0167517,1.16921e-05,1.57097,-0.103114,1147.16
