INFO: float precision operand used.

Device : Tesla T4
maxThreadsPerMultiProcessor : 1024
maxGridSize : (2147483647, 65535, 65535)
maxThreadsPerBlock : 1024
maxThreadsDim : (1024, 1024, 64)
regsPerMultiprocessor : 65536
regsPerBlock : 65536
Cuda driver version: 11040
Cuda rt version: 11030
INFO: Warp Occupancy with block size 64 : 25%
INFO: Estimated max occupancy with block size =  256, min grid size = 40

INFO: grid size = 5120 x 1, block size =  8 x 8
INFO: Creating 10 boundless plane surfaces

INFO: Time (ms) to run simulation: 24.8372
18, 6723833
19, 6723833
21, 6723833
19, 6723833
19, 6723833
20, 6723833
21, 6723833
18, 6723833
20, 11876252
19, 11876252
19, 11876252
18, 11876252
19, 11876252
18, 11876252
20, 11876252
21, 11876252
20, 11876252
21, 11876252
20, 11876252
20, 11876252
18, 11876252
20, 11876252
20, 11876252
19, 11876252
21, 11876252
20, 11876252
20, 11876252
19, 11876252
20, 11876252
19, 11876252
19, 11876252
20, 11876252
20, 11876252
19, 11876252
20, 11876252
19, 11876252
20, 11876252
19, 11876252
20, 11876252
20, 11876252
20, 12759769
19, 12759769
20, 12759769
19, 12759769
20, 12759769
20, 12759769
20, 12759769
21, 12759769
20, 12759769
19, 12759769
19, 12759769
18, 12759769
20, 12759769
20, 12759769
21, 12759769
20, 12759769
18, 12759769
20, 12759769
19, 12759769
19, 12759769
19, 12759769
21, 12759769
20, 12759769
20, 12759769
21, 12759769
19, 12759769
20, 12759769
20, 12759769
19, 12759769
18, 12759769
21, 12759769
21, 12759769
19, 13088451
20, 13088451
20, 13088451
20, 13088451
21, 13088451
19, 13088451
21, 13088451
20, 13088451
20, 13088451
21, 13088451
20, 13088451
20, 13088451
20, 13088451
18, 13088451
18, 13088451
19, 13088451
20, 13088451
20, 13088451
21, 13088451
21, 13088451
20, 13088451
20, 13088451
20, 13088451
19, 13088451
21, 13088451
20, 13088451
21, 13088451
19, 13088451
21, 13088451
19, 13088451
21, 13088451
20, 13088451
20, 13088431
20, 13088431
19, 13088431
20, 13088431
19, 13088431
21, 13088431
21, 13088431
19, 13088431
20, 13088431
20, 13088431
18, 13088431
20, 13088431
19, 13088431
21, 13088431
21, 13088431
21, 13088431
21, 13088431
19, 13088431
20, 13088431
20, 13088431
20, 13088431
20, 13088431
20, 13088431
19, 13088431
19, 13088431
21, 13088431
20, 13088431
20, 13088431
21, 13088431
20, 13088431
20, 13088431
19, 13088431
19, 13497388
20, 13497388
21, 13497388
21, 13497388
20, 13497388
18, 13497388
20, 13497388
18, 13497388
20, 13497388
20, 13497388
19, 13497388
21, 13497388
19, 13497388
18, 13497388
21, 13497388
21, 13497388
19, 13497388
21, 13497388
19, 13497388
19, 13497388
21, 13497388
20, 13497388
20, 13497388
19, 13497388
18, 13497388
19, 13497388
18, 13497388
21, 13497388
19, 13497388
21, 13497388
19, 13497388
20, 13497388
21, 13562114
21, 13562114
18, 13562114
20, 13562114
18, 13562114
20, 13562114
18, 13562114
21, 13562114
18, 13562114
19, 13562114
21, 13562114
20, 13562114
21, 13562114
20, 13562114
20, 13562114
21, 13562114
18, 13562114
20, 13562114
20, 13562114
19, 13562114
20, 13562114
20, 13562114
20, 13562114
19, 13562114
18, 13562114
21, 13562114
21, 13562114
20, 13562114
20, 13562114
19, 13562114
19, 13562114
20, 13562114
20, 13740377
19, 13740377
19, 13740377
21, 13740377
18, 13740377
20, 13740377
20, 13740377
20, 13740377
19, 13740377
20, 13740377
21, 13740377
20, 13740377
21, 13740377
20, 13740377
21, 13740377
19, 13740377
20, 13740377
21, 13740377
20, 13740377
19, 13740377
20, 13740377
21, 13740377
20, 13740377
19, 13740377
20, 13740377
19, 13740377
20, 13740377
18, 13740377
20, 13740377
18, 13740377
21, 13740377
20, 13740377
18, 13972271
17, 13972271
20, 13972271
19, 13972271
20, 13972271
19, 13972271
19, 13972271
20, 13972271
19, 13972271
19, 13972271
20, 13972271
20, 13972271
18, 13972271
21, 13972271
20, 13972271
20, 13972271
19, 13972271
21, 13972271
19, 13972271
20, 13972271
21, 13972271
20, 13972271
18, 13972271
20, 13972271
19, 13972271
21, 13972271
18, 13972271
19, 13972271
19, 13972271
18, 13972271
20, 13972271
21, 13972271
17, 14049822
19, 14049822
