INFO: float precision operand used.

Device : Tesla T4
maxThreadsPerMultiProcessor : 1024
maxGridSize : (2147483647, 65535, 65535)
maxThreadsPerBlock : 1024
maxThreadsDim : (1024, 1024, 64)
regsPerMultiprocessor : 65536
regsPerBlock : 65536
Cuda driver version: 11040
Cuda rt version: 11030
INFO: Warp Occupancy with block size 64 : 25%
INFO: Estimated max occupancy with block size =  64, min grid size = 160

INFO: grid size = 5120 x 1, block size =  8 x 8
INFO: Creating 10 boundless plane surfaces

INFO: Time (ms) to run simulation: 2.04155
18, 4980455
20, 4980455
20, 4980455
18, 4980455
20, 7251025
21, 7251025
20, 7251025
21, 7251025
21, 7251025
20, 7251025
19, 7251025
20, 7251025
21, 7251025
19, 7251025
20, 7251025
21, 7251025
19, 7251025
19, 7251025
21, 7251025
19, 7251025
20, 7251025
19, 7251025
19, 7251025
20, 7251025
20, 7251025
21, 7251025
20, 7251025
20, 7251025
20, 7251025
19, 7251025
20, 7251025
20, 7251025
20, 7251025
20, 7251025
19, 7251025
21, 7251025
20, 9154251
18, 9154251
19, 9154251
19, 9154251
20, 9154251
20, 9154251
18, 9154251
19, 9154251
20, 9154251
19, 9154251
21, 9154251
20, 9154251
18, 9154251
19, 9154251
20, 9154251
20, 9154251
19, 9154251
20, 9154251
19, 9154251
20, 9154251
20, 9154251
20, 9154251
21, 9154251
20, 9154251
21, 9154251
19, 9154251
20, 9154251
20, 9154251
21, 9154251
20, 9154251
18, 9154251
19, 9154251
18, 10478638
20, 10478638
20, 10478638
18, 10478638
20, 10478638
20, 10478638
20, 10478638
19, 10478638
20, 10478638
17, 10478638
20, 10478638
20, 10478638
21, 10478638
19, 10478638
20, 10478638
21, 10478638
20, 10478638
21, 10478638
20, 10478638
20, 10478638
20, 10478638
18, 10478638
20, 10478638
21, 10478638
20, 10478638
19, 10478638
21, 10478638
18, 10478638
19, 10478638
21, 10478638
21, 10478638
19, 10478638
INFO: Time (ms) for KF track fitting on device 0 : 55.521662
INFO: Total Wall clock time (ms) for KF track fitting: 55.550934
------------------------  ending  -----------------------
